ticker,name,week52high,ttmEPS,peRatio,day5ChangePercent,month1ChangePercent,day50MovingAvg,day200MovingAvg,price
FLWS,1-800-Flowers.Com Inc,32.78,0.9115,29.14,0.038091,0.071606,27.27,20.47,26.56
TXG,"10x Genomics, Inc.",137.66,-0.7981,-182.78,0.097048,0.263323,111.83,87.62,145.88
