Date,Close,Returns,1to1,Running Total(1),1to2,Running Total(2),1to4,Running Total(4),1to8,Running Total(8),1to16,Running Total(16),1to32,Running Total(32)
11/1/12,1427.59,0.010926524,0.010600675,-0.045532023,0.010562663,-0.045950149,0.010702365,-0.044413425,0.010761275,-0.043765416,0.010392919,-0.047817335,0.010579743,-0.045762274
10/31/12,1412.16,0.000155814,-0.000170035,-0.045702058,-0.000208047,-0.046158196,-0.0000683,-0.04448177,-0.00000943,-0.043774851,-0.000377791,-0.048195126,-0.000190967,-0.045953242
10/26/12,1411.94,-0.000728961,-0.00105481,-0.046756869,-0.001092822,-0.047251018,-0.00095312,-0.045434889,-0.00089421,-0.044669061,-0.001262566,-0.049457692,-0.001075742,-0.047028984
10/25/12,1412.97,0.002995563,0.002669714,-0.044087155,0.002631703,-0.044619315,0.002771405,-0.042663485,0.002830315,-0.041838746,0.002461959,-0.046995733,0.002648782,-0.044380202
10/24/12,1408.75,-0.003085393,-0.003411243,-0.047498397,-0.003449254,-0.048068569,-0.003309552,-0.045973036,-0.003250642,-0.045089388,-0.003618998,-0.050614731,-0.003432174,-0.047812376
10/23/12,1413.11,-0.014437059,-0.014762909,-0.062261306,-0.01480092,-0.062869489,-0.014661218,-0.060634254,-0.014602308,-0.059691696,-0.014970664,-0.065585395,-0.014783841,-0.062596217
10/22/12,1433.81,0.000432601,0.000106752,-0.062154554,0.0000687,-0.062800749,0.000208443,-0.060425811,0.000267353,-0.059424343,-0.000101003,-0.065686399,0.0000858,-0.062510396
10/19/12,1433.19,-0.016571287,-0.016897137,-0.07905169,-0.016935148,-0.079735897,-0.016795446,-0.077221257,-0.016736536,-0.076160879,-0.017104892,-0.082791291,-0.016918069,-0.079428465
10/18/12,1457.34,-0.002443682,-0.002769532,-0.081821222,-0.002807543,-0.08254344,-0.002667841,-0.079889098,-0.002608931,-0.07876981,-0.002977287,-0.085768578,-0.002790464,-0.082218929
10/17/12,1460.91,0.004117065,0.003791216,-0.078030006,0.003753204,-0.078790236,0.003892906,-0.075996192,0.003951816,-0.074817994,0.00358346,-0.082185118,0.003770284,-0.078448645
10/16/12,1454.92,0.010269906,0.009944057,-0.068085949,0.009906045,-0.06888419,0.010045748,-0.065950444,0.010104657,-0.064713337,0.009736301,-0.072448817,0.009923125,-0.06852552
10/15/12,1440.13,0.008077895,0.007752046,-0.060333904,0.007714034,-0.061170156,0.007853736,-0.058096708,0.007912646,-0.05680069,0.00754429,-0.064904527,0.007731114,-0.060794406
