Date,Close
4/24/20,2836.74
4/23/20,2797.8
4/22/20,2799.31
4/21/20,2736.56
4/20/20,2823.16
4/17/20,2874.56
4/16/20,2799.55
4/15/20,2783.36
4/14/20,2846.06
4/13/20,2761.63
4/9/20,2789.82
4/8/20,2749.98
4/7/20,2659.41
4/6/20,2663.68
4/3/20,2488.65
4/2/20,2526.9
4/1/20,2470.5
3/31/20,2584.59
3/30/20,2626.65
3/27/20,2541.47
3/26/20,2630.07
3/25/20,2475.56
3/24/20,2447.33
3/23/20,2237.4
3/20/20,2304.92
3/19/20,2409.39
3/18/20,2398.1
3/17/20,2529.19
3/16/20,2386.13
3/13/20,2711.02
3/12/20,2480.64
3/11/20,2741.38
3/10/20,2882.23
3/9/20,2746.56
3/6/20,2972.37
3/5/20,3023.94
3/4/20,3130.12
3/3/20,3003.37
3/2/20,3090.23
2/28/20,2954.22
2/27/20,2978.76
2/26/20,3116.39
2/25/20,3128.21
2/24/20,3225.89
2/21/20,3337.75
2/20/20,3373.23
2/19/20,3386.15
2/18/20,3370.29
2/14/20,3380.16
2/13/20,3373.94
2/12/20,3379.45
2/11/20,3357.75
2/10/20,3352.09
2/7/20,3327.71
2/6/20,3345.78
2/5/20,3334.69
2/4/20,3296.44
2/3/20,3247.84
1/31/20,3226.98
1/30/20,3282.7
1/29/20,3275.36
1/28/20,3280.01
1/27/20,3245.56
1/24/20,3295.65
1/23/20,3324.63
1/22/20,3324.47
1/21/20,3320.52
1/17/20,3329.31
1/16/20,3315.76
1/15/20,3287.92
1/14/20,3281.6
1/13/20,3286.43
1/10/20,3265.82
1/9/20,3273.62
1/8/20,3252.67
1/7/20,3237.25
1/6/20,3244.44
1/3/20,3235.78
1/2/20,3255.99
12/31/19,3227.57
12/30/19,3220.04
12/27/19,3238.92
12/26/19,3236.62
12/24/19,3224.33
12/23/19,3222.62
12/20/19,3222.26
12/19/19,3203.44
12/18/19,3193.72
12/17/19,3193.3
12/16/19,3191.16
12/13/19,3169.93
12/12/19,3170.01
12/11/19,3141.63
12/10/19,3132.52
12/9/19,3137.24
12/6/19,3144.41
12/5/19,3116.09
12/4/19,3112.76
12/3/19,3093.2
12/2/19,3113.98
11/29/19,3143.62
11/27/19,3153.52
11/26/19,3142.18
11/25/19,3133.71
11/22/19,3110.29
11/21/19,3108.28
11/20/19,3106.69
11/19/19,3120.57
11/18/19,3119.54
11/15/19,3117.73
11/14/19,3095.86
11/13/19,3094.04
11/12/19,3091.84
11/11/19,3087.01
11/8/19,3093.08
11/7/19,3085.18
11/6/19,3076.78
11/5/19,3074.62
11/4/19,3078.27
11/1/19,3066.91
10/31/19,3037.56
10/30/19,3046.77
10/29/19,3036.89
10/28/19,3039.42
10/25/19,3022.55
10/24/19,3010.29
10/23/19,3004.52
10/22/19,2995.99
10/21/19,3006.72
10/18/19,2986.2
10/17/19,2997.95
10/16/19,2989.69
10/15/19,2995.68
10/14/19,2966.15
10/11/19,2970.27
10/10/19,2938.13
10/9/19,2919.4
10/8/19,2893.06
10/7/19,2938.79
10/4/19,2952.01
10/3/19,2910.63
