Fractal Statistics:
,hurstExponent,fractalDimension,r-squared,p-value,standardError
fullSeries,0.58,1.42,0.98,0.0,0.03
trade,0.88,1.12,1.0,0.0,0.0
month,0.76,1.24,0.99,0.07,0.08
trend,0.68,1.32,0.99,0.01,0.06
tail,0.61,1.39,0.98,0.0,0.05

Rescale Range:
Scale,RescaleRange
fullSeries / 1,32.88796028323307
fullSeries / 2,25.962007330014075
fullSeries / 3,17.27803306798381
fullSeries / 12,10.681269436129792
fullSeries / 43,5.2928635383606935
fullSeries / 150,2.4073406437688627
fullSeries / 525,0.7059879413428979
